11 , 22, 22 , 33, 33 , 23, 23 , 12, 12 , 1, 1 , 11, 23 , 34, 
 34 , 24, 24 , 13, 13 , 2, 2 , 12, 24 , 35, 35 , 25, 25 , 14, 
 14 , 3, 3 , 13, 25 , 36, 36 , 26, 26 , 15, 15 , 4, 4 , 14, 
 26 , 37, 37 , 27, 27 , 16, 16 , 5, 5 , 15, 27 , 38, 38 , 28, 
 28 , 17, 17 , 6, 6 , 16, 28 , 39, 39 , 29, 29 , 18, 18 , 7, 
 7 , 17, 29 , 40, 40 , 30, 30 , 19, 19 , 8, 8 , 18, 30 , 41, 
 41 , 31, 31 , 20, 20 , 9, 9 , 19, 31 , 42, 42 , 32, 32 , 21, 
 21 , 10, 10 , 20, 33 , 44, 44 , 55, 55 , 45, 45 , 34, 45 , 56,
  56 , 46, 46 , 35, 46 , 57, 57 , 47, 47 , 36, 47 , 58, 
 58 , 48, 48 , 37, 48 , 59, 59 , 49, 49 , 38, 49 , 60, 60 , 50,
  50 , 39, 50 , 61, 61 , 51, 51 , 40, 51 , 62, 62 , 52, 
 52 , 41, 52 , 63, 63 , 53, 53 , 42, 53 , 64, 64 , 54, 54 , 43,
  43 , 32, 55 , 66, 66 , 77, 77 , 67, 67 , 56, 67 , 78, 
 78 , 68, 68 , 57, 68 , 79, 79 , 69, 69 , 58, 69 , 80, 80 , 70,
  70 , 59, 70 , 81, 81 , 71, 71 , 60, 71 , 82, 82 , 72, 
 72 , 61, 72 , 83, 83 , 73, 73 , 62, 73 , 84, 84 , 74, 74 , 63,
  74 , 85, 85 , 75, 75 , 64, 75 , 86, 86 , 76, 76 , 65, 
 65 , 54, 77 , 88, 88 , 99, 99 , 89, 89 , 78, 89 , 100, 
 100 , 90, 90 , 79, 90 , 101, 101 , 91, 91 , 80, 91 , 102, 
 102 , 92, 92 , 81, 92 , 103, 103 , 93, 93 , 82, 93 , 104, 
 104 , 94, 94 , 83, 94 , 105, 105 , 95, 95 , 84, 95 , 106, 
 106 , 96, 96 , 85, 96 , 107, 107 , 97, 97 , 86, 97 , 108, 
 108 , 98, 98 , 87, 87 , 76, 99 , 110, 110 , 121, 121 , 111, 
 111 , 100, 111 , 122, 122 , 112, 112 , 101, 112 , 123, 
 123 , 113, 113 , 102, 113 , 124, 124 , 114, 114 , 103, 
 114 , 125, 125 , 115, 115 , 104, 115 , 126, 126 , 116, 
 116 , 105, 116 , 127, 127 , 117, 117 , 106, 117 , 128, 
 128 , 118, 118 , 107, 118 , 129, 129 , 119, 119 , 108, 
 119 , 130, 130 , 120, 120 , 109, 109 , 98, 121 , 132, 
 132 , 143, 143 , 133, 133 , 122, 133 , 144, 144 , 134, 
 134 , 123, 134 , 145, 145 , 135, 135 , 124, 135 , 146, 
 146 , 136, 136 , 125, 136 , 147, 147 , 137, 137 , 126, 
 137 , 148, 148 , 138, 138 , 127, 138 , 149, 149 , 139, 
 139 , 128, 139 , 150, 150 , 140, 140 , 129, 140 , 151, 
 151 , 141, 141 , 130, 141 , 152, 152 , 142, 142 , 131, 
 131 , 120, 143 , 154, 154 , 165, 165 , 155, 155 , 144, 
 155 , 166, 166 , 156, 156 , 145, 156 , 167, 167 , 157, 
 157 , 146, 157 , 168, 168 , 158, 158 , 147, 158 , 169, 
 169 , 159, 159 , 148, 159 , 170, 170 , 160, 160 , 149, 
 160 , 171, 171 , 161, 161 , 150, 161 , 172, 172 , 162, 
 162 , 151, 162 , 173, 173 , 163, 163 , 152, 163 , 174, 
 174 , 164, 164 , 153, 153 , 142, 165 , 176, 176 , 187, 
 187 , 177, 177 , 166, 177 , 188, 188 , 178, 178 , 167, 
 178 , 189, 189 , 179, 179 , 168, 179 , 190, 190 , 180, 
 180 , 169, 180 , 191, 191 , 181, 181 , 170, 181 , 192, 
 192 , 182, 182 , 171, 182 , 193, 193 , 183, 183 , 172, 
 183 , 194, 194 , 184, 184 , 173, 184 , 195, 195 , 185, 
 185 , 174, 185 , 196, 196 , 186, 186 , 175, 175 , 164, 
 187 , 198, 198 , 209, 209 , 199, 199 , 188, 199 , 210, 
 210 , 200, 200 , 189, 200 , 211, 211 , 201, 201 , 190, 
 201 , 212, 212 , 202, 202 , 191, 202 , 213, 213 , 203, 
 203 , 192, 203 , 214, 214 , 204, 204 , 193, 204 , 215, 
 215 , 205, 205 , 194, 205 , 216, 216 , 206, 206 , 195, 
 206 , 217, 217 , 207, 207 , 196, 207 , 218, 218 , 208, 
 208 , 197, 197 , 186, 209 , 220, 220 , 231, 231 , 221, 
 221 , 210, 221 , 232, 232 , 222, 222 , 211, 222 , 233, 
 233 , 223, 223 , 212, 223 , 234, 234 , 224, 224 , 213, 
 224 , 235, 235 , 225, 225 , 214, 225 , 236, 236 , 226, 
 226 , 215, 226 , 237, 237 , 227, 227 , 216, 227 , 238, 
 238 , 228, 228 , 217, 228 , 239, 239 , 229, 229 , 218, 
 229 , 240, 240 , 230, 230 , 219, 219 , 208
