1,2
1,3
1,4
2,3
2,4
3,4
3,5
5,6
5,7
7,8
7,9
8,9
8,10
8,11
10,11
11,12
11,13
13,14
12,13
13,16
13,17
14,15
15,16
14,16
16,17
16,18
17,19
17,18
16,19
18,19
19,20
6,7
4,14
21,22
22,23
22,27
22,26
23,24
23,25
23,26
23,27
24,25
25,27
26,27
26,28
26,29
28,29
25,28
21,26
20,24
15,25
29,4
14,19
30,7
31,35
31,32
31,34
32,34
33,34
32,33
30,35
32,5
29,6
5,36
21,37
37,38
38,36
33,38
39,40
40,34
42,43
43,44
42,44
42,45
42,41
44,45
44,48
41,45
45,48
41,46
45,46
46,48
47,48
46,47
12,47
44,20
43,24
49,40
39,35
49,37
50,10
50,9
51,52
51,54
51,53
52,54
54,53
52,55
55,53
52,57
53,56
55,57
55,56
57,58
57,59
56,61
56,62
58,59
59,60
60,61
61,62
58,63
58,64
64,65
63,65
65,60
60,66
66,67
66,68
67,68
62,67
62,68
61,66
59,65
63,64
57,21
58,37
54,27
67,41
69,70
39,70
69,67
69,60
